idcliente,duration,previous,housing,campaign,loan,default,target,muestra
125,223,0,1,2,0,0,0,1
126,109,0,1,1,0,0,0,1
127,180,0,1,2,0,0,0,0
128,49,0,1,3,0,0,0,1
129,328,0,1,2,0,0,0,1
130,229,0,1,3,0,0,0,0
131,516,0,1,1,0,0,0,1
132,125,0,1,2,1,0,0,1
133,485,0,1,4,0,0,0,0
134,166,0,1,1,0,0,0,0
135,1101,0,1,1,0,0,0,1
136,93,0,0,1,0,0,0,0
137,311,0,1,1,0,0,0,1
138,329,0,1,1,0,0,0,1
139,68,0,1,1,0,0,0,1
140,106,0,1,1,0,0,0,1
141,194,0,1,1,0,0,0,1
142,2177,0,1,4,0,0,0,0
143,114,0,1,2,0,0,0,1
144,108,0,1,6,0,0,0,0
145,223,0,1,2,0,0,0,1
146,128,0,1,2,0,0,0,1
147,42,0,1,2,0,0,0,0
148,50,0,1,2,0,0,0,0
149,305,0,1,3,0,0,0,1
150,353,0,1,4,1,0,0,1
151,256,0,1,3,0,0,0,1
152,103,0,1,4,1,0,0,1
153,127,0,0,2,0,0,0,1
154,548,0,1,2,0,0,0,1
155,155,0,1,1,0,0,0,1
156,123,0,1,2,0,1,0,1
157,122,0,1,5,0,0,0,1
158,944,0,1,3,0,0,0,0
159,35,0,1,3,0,0,0,1
160,404,0,1,5,0,0,0,0
161,280,0,1,3,1,0,0,1
162,201,0,1,2,0,0,0,1
163,239,0,1,2,0,0,0,0
164,308,0,1,3,1,0,0,0
165,175,0,1,5,0,0,0,1
166,211,0,1,3,0,1,0,1
167,109,0,1,1,0,0,0,1
168,207,0,1,1,0,0,0,1
169,146,0,1,3,1,0,0,1
170,177,0,1,2,0,0,0,1
171,622,0,1,1,0,0,0,1
172,61,0,1,1,1,1,0,1
173,41,0,1,1,0,0,0,1
174,405,0,1,1,0,0,0,1
175,75,0,1,1,0,0,0,1
176,418,0,1,1,1,0,0,0
177,231,0,1,2,0,0,0,1
178,269,0,1,1,0,0,0,1
179,95,0,1,1,0,0,0,1
180,60,0,1,1,0,0,0,1
181,216,0,1,1,0,0,0,1
182,249,0,1,1,0,0,0,1
183,87,0,1,2,0,0,0,1
184,108,0,1,2,0,0,0,0
185,82,0,0,1,0,0,0,1
186,110,0,1,1,0,0,0,1
187,362,0,0,1,0,0,0,1
188,69,0,1,2,0,0,0,1
189,96,0,1,1,0,0,0,1
190,110,0,1,1,0,0,0,0
191,108,0,1,3,1,0,0,0
192,218,0,1,2,0,1,0,0
193,208,0,1,1,0,0,0,1
194,161,0,1,1,0,0,0,1
195,347,0,1,2,1,0,0,0
196,21,0,1,1,0,0,0,1
197,42,0,1,1,0,0,0,0
198,66,0,1,2,0,0,0,1
199,543,0,1,3,0,0,0,1
200,257,0,1,2,0,0,0,1
201,45,0,1,2,0,0,0,1
202,74,0,1,7,0,0,0,1
203,285,0,1,1,0,0,0,1
204,257,0,1,3,0,0,0,0
205,128,0,1,2,0,0,0,1
206,43,0,0,2,0,0,0,1
207,219,0,1,4,0,0,0,1
208,223,0,1,2,0,0,0,0
209,193,0,1,2,0,0,0,1
210,122,0,1,2,0,0,0,1
211,369,0,1,2,0,0,0,0
212,393,0,1,2,0,0,0,1
213,91,0,1,3,0,0,0,0
214,111,0,0,3,0,0,0,0
215,341,0,1,2,0,0,0,0
216,272,0,1,4,0,0,0,1
217,104,0,1,3,0,0,0,1
218,271,0,1,5,1,0,0,1
219,287,0,1,4,0,0,0,1
220,732,0,1,2,0,0,0,0
221,126,0,0,3,0,0,0,1
222,208,0,1,2,0,0,0,0
223,62,0,1,1,0,0,0,1
224,380,0,1,1,1,0,0,0
225,847,0,1,1,1,0,0,0
226,147,0,1,1,0,0,0,1
227,59,0,1,1,0,0,0,1
228,85,0,1,2,0,0,0,0
229,164,0,1,1,0,0,0,1
230,198,0,1,1,0,0,0,1
231,239,0,1,1,0,0,0,1
232,117,0,1,1,0,0,0,0
233,138,0,0,1,0,0,0,1
234,341,0,1,1,0,0,0,0
235,86,0,1,2,0,0,0,0
236,278,0,1,1,0,0,0,1
237,249,0,0,3,0,0,0,1
238,207,0,1,1,0,0,0,1
239,211,0,1,2,0,0,0,0
240,206,0,1,2,1,1,0,1
241,215,0,1,2,0,0,0,1
242,200,0,1,4,0,0,0,0
243,391,0,1,2,0,0,0,1
244,224,0,1,3,0,1,0,0
245,97,0,1,1,0,0,0,1
246,404,0,1,2,0,0,0,1
247,109,0,0,1,0,0,0,1
248,193,0,1,2,0,0,0,1
249,344,0,1,2,1,0,0,1
250,1170,0,1,1,0,0,0,0
251,167,0,1,4,1,0,0,1
252,174,0,1,1,0,0,0,0
253,274,0,1,2,0,0,0,1
254,241,0,1,2,0,0,0,1
255,663,0,1,3,0,0,0,1
256,153,0,1,1,1,1,0,1
257,98,0,1,3,0,0,0,0
258,49,0,0,1,1,0,0,1
259,73,0,0,4,0,0,0,1
260,126,0,1,2,0,0,0,1
261,179,0,1,2,0,0,0,1
262,89,0,1,2,0,0,0,1
263,177,0,1,2,0,0,0,0
264,218,0,1,2,0,0,0,1
265,226,0,1,2,1,0,0,0
266,179,0,1,2,0,0,0,0
267,116,0,1,3,0,0,0,1
268,122,0,1,2,0,0,0,1
269,51,0,1,3,0,0,0,1
270,389,0,1,2,0,0,0,0
271,117,0,1,2,0,0,0,1
272,244,0,1,4,0,0,0,1
273,71,0,0,3,0,0,0,0
274,180,0,1,2,0,0,0,1
275,315,0,1,4,0,0,0,1
276,163,0,1,2,0,0,0,1
277,836,0,0,4,0,0,0,1
278,129,0,1,2,0,0,0,1
279,76,0,1,2,0,0,0,1
280,192,0,1,2,0,0,0,0
281,29,0,1,8,0,0,0,1
282,59,0,1,4,1,0,0,0
283,144,0,1,7,0,0,0,1
284,252,0,1,4,0,0,0,0
285,177,0,0,4,0,0,0,1
286,207,0,1,3,0,0,0,1
287,154,0,1,1,0,0,0,1
288,125,0,1,1,1,0,0,1
289,140,0,1,3,0,0,0,0
290,832,0,1,3,0,0,0,1
291,101,0,0,2,0,0,0,0
292,388,0,1,2,0,0,0,1
293,215,0,1,1,1,0,0,0
294,139,0,1,2,0,0,0,0
295,246,0,1,1,0,0,0,1
296,256,0,1,4,1,0,0,1
297,596,0,1,1,0,0,0,1
298,335,0,1,1,1,0,0,0
299,116,0,1,2,0,0,0,1
300,236,0,1,10,0,0,0,1
301,92,0,1,3,0,0,0,1
302,58,0,1,7,0,0,0,0
303,145,0,1,4,1,0,0,1
304,299,0,1,5,0,0,0,0
305,170,0,1,8,0,0,0,0
306,197,0,0,3,0,0,0,1
307,220,0,1,2,0,0,0,1
308,140,0,0,7,0,0,0,1
309,24,0,1,12,1,0,0,1
310,147,0,0,1,0,0,0,1
311,70,0,1,1,0,0,0,1
312,518,0,1,1,0,0,0,1
313,704,0,1,1,0,0,0,0
314,611,0,1,2,0,0,0,0
315,50,0,1,1,0,0,0,0
316,1386,0,1,1,1,0,0,1
317,215,0,1,1,0,0,0,1
318,272,0,1,1,1,0,0,1
319,210,0,1,1,0,0,0,1
320,259,0,1,6,0,0,0,0
321,218,0,1,1,0,0,0,0
322,343,0,1,1,0,0,0,1
323,289,0,1,2,0,0,0,1
324,170,0,1,1,1,0,0,0
325,340,0,1,1,1,0,0,0
326,118,0,1,1,0,0,0,1
327,1167,0,1,1,1,0,0,1
328,93,0,1,1,0,0,0,0
329,191,0,1,1,0,0,0,0
330,260,0,1,3,0,0,0,1
331,23,0,1,2,0,0,0,1
332,334,0,1,1,0,0,0,1
333,156,0,1,1,0,0,0,1
334,110,0,1,1,0,0,0,1
335,135,0,1,1,0,0,0,1
336,127,0,1,2,1,0,0,1
337,129,0,1,1,1,0,0,1
338,277,0,1,1,1,0,0,1
339,113,0,0,2,0,0,0,0
340,916,0,0,2,0,0,0,1
341,535,0,1,2,0,0,0,1
342,276,0,1,1,0,0,0,1
343,390,0,1,1,0,0,0,1
344,123,0,1,1,0,0,0,0
345,93,0,1,2,0,0,0,1
346,332,0,1,1,0,0,0,1
347,318,0,1,2,0,0,0,1
348,190,0,1,1,0,0,0,1
349,184,0,1,1,0,0,0,1
350,65,0,1,6,1,0,0,1
351,215,0,1,1,0,0,0,1
352,788,0,1,3,1,0,0,0
353,274,0,1,2,0,0,0,1
354,151,0,1,4,0,0,0,1
355,175,0,1,2,0,0,0,1
356,151,0,0,2,0,0,0,0
357,232,0,1,4,0,0,0,1
358,209,0,0,2,0,0,0,1
359,273,0,0,2,0,0,0,1
360,1106,0,1,4,0,0,0,0
361,50,0,1,3,0,0,0,1
362,190,0,1,5,1,1,0,1
363,171,0,1,2,0,0,0,1
364,166,0,1,2,0,0,0,1
365,104,0,1,2,0,0,0,0
366,313,0,1,4,0,1,0,1
367,137,0,1,4,0,0,0,1
368,97,0,0,2,0,0,0,1
369,103,0,0,6,0,1,0,0
370,89,0,1,2,1,0,0,1
371,101,0,1,2,0,0,0,1
372,167,0,1,1,0,0,0,0
373,163,0,1,3,0,0,0,0
374,282,0,1,1,0,0,0,1
375,142,0,1,1,0,0,0,0
376,238,0,1,1,0,0,0,0
377,108,0,1,2,0,0,0,0
378,114,0,1,1,0,0,0,0
379,622,0,1,1,0,0,0,1
380,243,0,1,1,0,0,0,1
381,253,0,0,1,0,0,0,1
382,220,0,1,1,0,0,0,0
383,267,0,1,2,1,0,0,1
384,456,0,1,9,0,0,0,0
385,44,0,1,1,1,0,0,0
386,178,0,1,1,0,0,0,0
387,68,0,1,1,0,0,0,1
388,188,0,1,1,0,0,0,1
389,546,0,1,1,0,0,0,1
390,299,0,1,1,0,0,0,0
391,283,0,1,1,0,0,0,1
392,160,0,1,1,0,0,0,1
393,208,0,1,1,0,0,0,1
394,151,0,1,2,0,0,0,1
395,829,0,1,1,0,0,0,1
396,784,0,1,1,0,0,0,0
397,93,0,1,14,0,1,0,1
398,21,0,1,10,1,0,0,0
399,157,0,1,1,0,0,0,1
400,371,0,1,1,0,0,0,0
401,135,0,1,1,0,0,0,1
402,5,0,1,2,0,0,0,1
403,193,0,1,2,0,0,0,1
404,485,0,0,2,0,0,0,1
405,55,0,1,1,0,0,0,1
406,293,0,1,3,0,0,0,0
407,85,0,1,4,0,0,0,0
408,183,0,1,4,1,0,0,1
409,142,0,1,3,0,0,0,0
410,248,0,1,1,0,0,0,1
411,17,0,0,24,0,0,0,0
412,297,0,1,2,0,0,0,1
413,174,0,1,2,0,0,0,1
414,126,0,1,3,0,0,0,1
415,97,0,0,5,0,0,0,1
416,89,0,1,7,0,0,0,1
417,341,0,1,5,0,0,0,1
418,483,0,1,3,1,0,0,1
419,143,0,1,3,0,0,0,0
420,204,0,1,1,0,0,0,1
421,141,0,1,1,0,0,0,0
422,230,0,1,1,1,0,0,1
423,260,0,1,1,1,0,0,1
424,183,0,1,5,0,0,0,1
425,153,0,1,1,0,0,0,1
426,558,0,1,6,0,0,0,0
427,463,0,1,1,0,0,0,1
428,234,0,1,1,1,0,0,1
429,303,0,1,1,0,0,0,1
430,397,0,1,1,0,0,0,1
431,168,0,1,5,1,0,0,1
432,1000,0,1,1,0,0,0,1
433,191,0,1,1,0,0,0,0
434,37,0,1,1,0,0,0,1
435,51,0,1,2,0,0,0,1
436,187,0,1,6,0,0,0,1
437,1244,0,0,3,0,0,0,0
438,431,0,1,1,0,0,0,0
439,133,0,1,1,0,0,0,1
440,270,0,1,1,0,0,0,0
441,117,0,1,1,0,0,0,1
442,477,0,1,1,0,0,0,0
443,99,0,1,1,0,0,0,1
444,236,0,1,3,1,0,0,0
445,51,0,1,10,0,0,0,1
446,126,0,1,4,0,0,0,0
447,71,0,1,2,0,0,0,1
448,98,0,1,1,0,0,0,1
449,59,0,1,1,0,0,0,1
450,344,0,1,2,0,0,0,1
451,236,0,1,1,0,0,0,1
452,134,0,1,1,1,0,0,1
453,644,0,1,1,0,0,0,1
454,465,0,0,3,0,0,0,1
455,237,0,1,2,0,0,0,1
456,95,0,1,1,0,0,0,0
457,561,0,1,1,0,0,0,1
458,100,0,1,4,0,0,0,1
459,160,0,1,1,0,0,0,1
460,205,0,1,2,0,0,0,0
461,73,0,1,2,0,0,0,0
462,619,0,1,4,0,0,0,0
463,21,0,1,6,0,0,0,0
464,276,0,1,3,0,0,0,1
465,1392,0,1,4,0,0,0,1
466,19,0,1,8,0,0,0,1
467,546,0,1,9,0,0,0,1
468,328,0,1,4,0,0,0,0
469,171,0,1,2,0,0,0,1
470,365,0,1,1,0,0,0,1
471,309,0,1,2,0,0,0,1
472,184,0,1,2,1,0,0,1
473,855,0,1,4,0,0,0,0
474,124,0,1,2,0,0,0,0
475,734,0,1,5,0,0,0,1
476,73,0,1,7,0,0,0,0
477,186,0,1,3,0,0,0,0
478,122,0,1,2,1,0,0,1
479,248,0,1,3,0,0,0,1
480,329,0,1,3,0,0,0,0
481,179,0,1,1,1,0,0,0
482,228,0,1,2,0,0,0,1
483,283,0,1,1,1,0,0,0
484,213,0,1,1,1,0,0,1
485,627,0,1,1,0,0,0,1
486,216,0,1,1,0,0,0,1
487,345,0,1,1,0,0,0,1
488,73,0,1,1,1,0,0,0
489,203,0,1,1,1,0,0,0
490,42,0,1,10,0,0,0,1
491,122,0,1,3,0,0,0,1
492,204,0,1,1,0,0,0,1
493,108,0,1,2,1,0,0,1
494,359,0,1,1,0,0,0,0
495,123,0,1,1,0,0,0,1
496,169,0,1,1,0,0,0,0
497,317,0,0,1,0,0,0,1
498,107,0,1,1,0,0,0,0
499,489,0,1,2,0,0,0,1
500,199,0,1,4,0,1,0,1
501,558,0,1,3,0,0,0,1
502,213,0,1,16,0,1,0,1
503,109,0,1,1,0,0,0,0
504,378,0,1,1,0,0,0,1
505,764,0,1,7,0,0,0,0
506,233,0,1,1,0,0,0,0
507,698,0,1,1,0,0,0,1
508,557,0,1,4,0,0,0,1
509,280,0,1,2,1,0,0,0
510,152,0,1,2,0,0,0,1
511,254,0,1,17,0,0,0,1
512,243,0,1,3,0,0,0,0
513,806,0,0,4,0,0,0,0
514,251,0,1,4,0,1,0,0
515,680,0,1,3,0,0,0,1
516,251,0,1,3,0,0,0,0
517,283,0,1,3,0,0,0,1
518,541,0,1,5,0,0,0,1
519,320,0,1,3,0,0,0,1
520,167,0,1,2,0,0,0,1
521,1023,0,1,4,0,0,0,0
522,409,0,0,3,0,0,0,1
523,393,0,1,2,1,0,0,1
524,311,0,1,2,0,0,0,1
525,179,0,1,4,1,0,0,1
526,594,0,0,2,0,0,0,1
527,35,0,1,1,0,0,0,0
528,668,0,1,7,0,0,0,1
529,71,0,1,1,0,0,0,0
530,380,0,1,1,0,0,0,1
531,127,0,1,1,0,0,0,1
532,122,0,1,6,0,0,0,1
533,29,0,1,3,0,0,0,1
534,112,0,1,1,0,0,0,1
535,165,0,1,1,1,0,0,0
536,63,0,1,1,0,0,0,1
537,138,0,1,1,0,0,0,1
538,115,0,0,1,0,0,0,0
539,190,0,0,1,0,0,0,0
540,529,0,0,3,0,0,0,1
541,198,0,0,1,0,0,0,0
542,496,0,1,3,0,0,0,1
543,78,0,1,3,0,0,0,0
544,104,0,1,2,0,0,0,1
545,287,0,1,1,0,0,0,0
546,23,0,1,1,0,0,0,1
547,174,0,1,2,1,0,0,1
548,222,0,1,2,0,0,0,0
549,126,0,1,3,1,0,0,1
550,361,0,1,2,1,0,0,1
551,333,0,1,1,0,0,0,1
552,107,0,1,2,1,0,0,1
553,125,0,1,5,0,0,0,0
554,401,0,1,2,0,0,0,0
555,182,0,0,11,0,0,0,1
556,457,0,1,5,0,0,0,0
557,65,0,1,3,0,0,0,1
558,100,0,1,2,0,0,0,1
559,313,0,1,2,0,0,0,1
560,221,0,1,2,0,0,0,0
561,112,0,1,7,1,0,0,1
562,138,0,1,8,0,0,0,1
563,492,0,1,9,0,0,0,0
564,265,0,1,5,0,1,0,0
565,175,0,1,2,1,0,0,1
566,217,0,1,2,0,0,0,0
567,44,0,1,4,0,0,0,1
568,195,0,0,4,0,0,0,1
569,148,0,0,5,0,0,0,1
570,34,0,1,1,0,0,0,1
571,365,0,1,4,0,0,0,1
572,257,0,1,1,0,0,0,1
573,21,0,1,11,0,0,0,1
574,172,0,1,1,1,0,0,0
575,280,0,1,1,0,0,0,1
576,328,0,1,1,0,0,0,0
577,335,0,1,1,0,0,0,1
578,167,0,1,1,0,0,0,1
579,67,0,1,1,0,0,0,1
580,25,0,1,1,0,0,0,1
581,116,0,1,1,0,0,0,1
582,124,0,1,1,0,0,0,1
583,233,0,1,2,1,0,0,1
584,137,0,1,1,0,0,0,0
585,207,0,1,6,0,0,0,0
586,284,0,1,1,0,0,0,0
587,277,0,1,2,0,0,0,1
588,85,0,1,1,0,0,0,0
589,311,0,1,1,0,0,0,1
590,189,0,1,1,0,0,0,1
591,120,0,1,1,1,0,0,1
592,464,0,1,2,0,0,0,1
593,547,0,1,7,0,0,0,0
594,37,0,0,1,0,0,0,1
595,360,0,1,1,1,0,0,1
596,281,0,1,1,0,0,0,0
597,216,0,1,2,0,0,0,0
598,156,0,1,2,0,0,0,0
599,114,0,1,1,1,0,0,1
600,415,0,1,2,0,0,0,0
601,185,0,1,2,1,0,0,1
602,51,0,1,26,0,0,0,0
603,625,0,1,2,0,0,0,1
604,134,0,1,3,0,0,0,1
605,52,0,1,11,1,0,0,1
606,144,0,1,2,0,0,0,1
607,307,0,1,3,1,0,0,1
608,172,0,1,4,1,0,0,1
609,89,0,1,3,0,0,0,0
610,465,0,1,8,0,0,0,0
611,89,0,1,2,0,0,0,1
612,51,0,1,7,0,0,0,1
613,47,0,1,3,0,0,0,1
614,446,0,0,7,1,0,0,1
615,214,0,1,1,0,0,0,1
616,152,0,1,1,0,0,0,1
617,225,0,1,1,0,0,0,0
618,388,0,0,1,0,0,0,0
619,422,0,1,2,0,0,0,1
620,245,0,1,1,0,0,0,1
621,554,0,1,3,0,0,0,1
622,118,0,1,1,0,0,0,1
623,164,0,0,1,0,0,0,0
624,419,0,1,1,0,0,0,1
625,179,0,1,1,0,0,0,1
626,425,0,1,1,0,0,0,1
627,189,0,1,2,0,0,0,1
628,12,0,1,11,0,0,0,1
629,115,0,1,2,0,0,0,1
630,83,0,1,1,0,0,0,1
631,544,0,1,1,0,0,0,1
632,97,0,1,1,0,0,0,1
633,359,0,1,1,0,0,0,1
634,311,0,1,1,0,0,0,0
635,135,0,1,1,0,0,0,1
636,112,0,1,1,1,0,0,0
637,250,0,1,2,0,0,0,1
638,303,0,1,3,0,0,0,1
639,125,0,1,3,0,0,0,0
640,159,0,1,1,1,0,0,1
641,140,0,1,2,0,0,0,0
642,57,0,0,2,0,0,0,0
643,373,0,1,2,0,0,0,0
644,650,0,1,2,0,0,0,1
645,143,0,1,1,1,0,0,0
646,492,0,1,1,1,0,0,1
647,304,0,1,1,0,0,0,1
648,111,0,0,4,0,0,0,1
649,252,0,1,2,0,0,0,1
650,899,0,1,1,1,0,0,1
651,244,0,1,2,0,0,0,1
652,295,0,1,1,0,0,0,1
653,113,0,1,2,0,0,0,1
654,291,0,1,2,0,0,0,0
655,394,0,1,2,1,0,0,1
656,111,0,1,5,0,0,0,1
657,72,0,1,3,0,0,0,1
658,222,0,1,5,1,0,0,1
659,87,0,1,14,0,0,0,0
660,206,0,1,3,0,0,0,1
661,292,0,1,2,1,0,0,0
662,248,0,1,3,0,0,0,1
663,86,0,1,2,1,0,0,0
664,85,0,0,4,0,0,0,1
665,987,0,1,3,1,0,0,0
666,132,0,1,1,0,0,0,1
667,81,0,1,2,0,0,0,0
668,93,0,0,4,0,0,0,1
669,42,0,1,3,0,0,0,1
670,48,0,0,5,0,0,0,1
671,253,0,1,2,0,0,0,1
672,92,0,1,1,0,0,0,1
673,206,0,0,1,0,0,0,1
674,385,0,1,1,0,0,0,1
675,98,0,1,1,1,0,0,1
676,139,0,1,1,0,0,0,1
677,290,0,1,1,1,0,0,1
678,152,0,1,1,0,0,0,0
679,322,0,1,1,0,0,0,0
680,86,0,1,2,1,0,0,0
681,816,0,1,2,0,0,0,1
682,297,0,1,1,0,0,0,0
683,354,0,1,4,0,0,0,1
684,293,0,1,1,1,0,0,1
685,245,0,1,1,0,0,0,1
686,110,0,1,2,0,0,0,1
687,99,0,1,3,0,0,0,1
688,691,0,1,1,1,0,0,1
689,81,0,1,1,0,0,0,1
690,145,0,1,1,1,0,0,1
691,141,0,1,6,0,0,0,1
692,258,0,1,5,0,0,0,1
693,147,0,1,14,0,0,0,1
694,198,0,1,2,1,0,0,1
695,216,0,1,2,0,0,0,0
696,210,0,1,2,0,0,0,1
697,926,0,1,1,0,0,0,1
698,116,0,1,2,0,0,0,1
699,345,0,1,3,0,0,0,1
700,178,0,1,1,0,0,0,0
701,301,0,1,2,0,0,0,1
702,24,0,1,1,0,0,0,0
703,55,0,1,4,0,0,0,1
704,208,0,1,1,1,0,0,1
705,274,0,1,2,0,0,0,1
706,353,0,1,2,0,1,0,1
707,178,0,1,1,1,0,0,0
708,199,0,1,2,0,0,0,1
709,339,0,0,1,0,0,0,1
710,138,0,1,6,0,0,0,1
711,247,0,1,1,0,0,0,1
712,169,0,1,2,0,0,0,1
713,253,0,1,1,0,1,0,1
714,373,0,1,9,0,0,0,1
715,569,0,0,3,0,0,0,0
716,333,0,1,2,0,0,0,1
717,372,0,1,3,0,0,0,1
718,188,0,1,6,0,0,0,1
719,248,0,1,4,0,0,0,1
720,82,0,1,2,0,0,0,1
721,348,0,1,2,0,0,0,1
722,106,0,1,3,0,0,0,1
723,253,0,1,2,0,0,0,1
724,74,0,0,4,0,1,0,1
725,146,0,1,6,0,0,0,1
726,79,0,1,1,1,0,0,1
727,501,0,1,2,1,0,0,0
728,185,0,1,1,1,0,0,1
729,142,0,1,3,0,0,0,1
730,120,0,1,2,0,0,0,1
731,141,0,1,2,0,0,0,0
732,161,0,1,3,0,0,0,1
733,396,0,0,1,0,0,0,1
734,133,0,1,1,1,0,0,1
735,200,0,1,1,0,0,0,0
736,296,0,1,1,0,0,0,1
737,202,0,1,2,1,0,0,1
738,140,0,1,5,1,0,0,1
739,80,0,1,2,0,0,0,0
740,152,0,1,2,0,0,0,1
741,136,0,1,1,1,0,0,0
742,157,0,0,5,0,0,0,1
743,222,0,1,2,0,0,0,1
744,127,0,1,2,1,0,0,0
745,629,0,1,2,0,0,0,0
746,290,0,1,2,0,0,0,1
747,159,0,1,3,0,0,0,1
748,574,0,1,3,0,0,0,1
749,91,0,0,3,1,0,0,1
750,114,0,1,3,0,0,0,1
751,175,0,1,3,0,0,0,1
752,257,0,1,3,1,0,0,1
753,208,0,1,3,0,0,0,1
754,99,0,1,3,0,0,0,1
755,289,0,0,1,0,0,0,1
756,239,0,1,3,0,0,0,1
757,248,0,1,2,0,0,0,0
758,131,0,1,1,0,0,0,1
759,420,0,1,2,0,0,0,0
760,470,0,1,2,0,0,0,1
761,70,0,1,6,0,0,0,1
762,399,0,1,2,0,0,0,0
763,163,0,1,2,0,1,0,0
764,157,0,1,3,0,0,0,1
765,109,0,1,2,0,0,0,0
766,454,0,1,3,1,0,0,1
767,166,0,1,2,0,0,0,1
768,304,0,1,4,1,0,0,1
769,103,0,0,2,0,0,0,1
770,14,0,1,11,1,0,0,1
771,221,0,1,2,1,0,0,1
772,158,0,1,4,1,0,0,0
773,59,0,0,2,0,0,0,1
